No,Hospital_Name,State_Code,State,Membership_Tier,Hospital_Type,Accreditation,Languages_Spoken,International_Patient_Services,Website_URL,specialist,Latitude,Longitude
61,Pantai Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay; Multiple,Airport Transfer Service; International Patient Centre (IPC); Visa; Translation; eHealthConsult,https://www.pantai.com.my/kuala-lumpur/ms,Cardiology,3.1197152,101.6669298
61,Pantai Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay; Multiple,Airport Transfer Service; International Patient Centre (IPC); Visa; Translation; eHealthConsult,https://www.pantai.com.my/kuala-lumpur/ms,Oncology,3.1197152,101.6669298
61,Pantai Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay; Multiple,Airport Transfer Service; International Patient Centre (IPC); Visa; Translation; eHealthConsult,https://www.pantai.com.my/kuala-lumpur/ms,Cardilogy & Cardithoracic Surgery,3.1197152,101.6669298
61,Pantai Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay; Multiple,Airport Transfer Service; International Patient Centre (IPC); Visa; Translation; eHealthConsult,https://www.pantai.com.my/kuala-lumpur/ms,Orthopaedics & Spine Surgery,3.1197152,101.6669298
61,Pantai Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay; Multiple,Airport Transfer Service; International Patient Centre (IPC); Visa; Translation; eHealthConsult,https://www.pantai.com.my/kuala-lumpur/ms,Neurosciences,3.1197152,101.6669298
62,Pantai Hospital Melaka,MK,Melaka,Ordinary Member,,,,,https://www.pantai.com.my/melaka,,2.2373565,102.2872978
63,Pantai Hospital Penang,PN,Penang,Ordinary Member,,,,,https://www.pantai.com.my/penang,,5.3212537,100.2822125
64,ParkCity Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,Private Hospital,JCI Accredited,English; Malay; Mandarin,International patient services; 24-hour emergency,https://parkcitymedicalcentre.com,Breast Surgery,3.1893179,101.6385075
64,ParkCity Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,Private Hospital,JCI Accredited,English; Malay; Mandarin,International patient services; 24-hour emergency,https://parkcitymedicalcentre.com,Cardiology,3.1893179,101.6385075
64,ParkCity Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,Private Hospital,JCI Accredited,English; Malay; Mandarin,International patient services; 24-hour emergency,https://parkcitymedicalcentre.com,ENT (Ear Nose Throat),3.1893179,101.6385075
64,ParkCity Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,Private Hospital,JCI Accredited,English; Malay; Mandarin,International patient services; 24-hour emergency,https://parkcitymedicalcentre.com,Gastroenterology,3.1893179,101.6385075
64,ParkCity Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,Private Hospital,JCI Accredited,English; Malay; Mandarin,International patient services; 24-hour emergency,https://parkcitymedicalcentre.com,OB&GYN,3.1893179,101.6385075
65,Penang Adventist Hospital,PN,Penang,Elite Membership,,,,,https://pah.com.my/,Heart & Vascular: Adventist Heart Clinic,5.4322037,100.3052404
65,Penang Adventist Hospital,PN,Penang,Elite Membership,,,,,https://pah.com.my/,Orthopaedics: Adventist Orthopaedic Clinic,5.4322037,100.3052404
65,Penang Adventist Hospital,PN,Penang,Elite Membership,,,,,https://pah.com.my/,Cancer Care: Adventist Oncology,5.4322037,100.3052404
65,Penang Adventist Hospital,PN,Penang,Elite Membership,,,,,https://pah.com.my/,Renal Care: Adventist Renal Care Centre,5.4322037,100.3052404
65,Penang Adventist Hospital,PN,Penang,Elite Membership,,,,,https://pah.com.my/,Cosmetic & Reconstructive Surgery: Adventist Cosmetic & Reconstructive Clinic,5.4322037,100.3052404
66,Prince Court Medical Centre,WP,Wilayah Persekutuan,Elite Membership,Private Hospital (Tertiary),MSQH Accredited,English; Mandarin; Malay,International patient services; Multilingual support,https://princecourt.com/,Cardiology,3.1489704,101.7217335
66,Prince Court Medical Centre,WP,Wilayah Persekutuan,Elite Membership,Private Hospital (Tertiary),MSQH Accredited,English; Mandarin; Malay,International patient services; Multilingual support,https://princecourt.com/,Anaesthesiology,3.1489704,101.7217335
66,Prince Court Medical Centre,WP,Wilayah Persekutuan,Elite Membership,Private Hospital (Tertiary),MSQH Accredited,English; Mandarin; Malay,International patient services; Multilingual support,https://princecourt.com/,Blood Disorders,3.1489704,101.7217335
66,Prince Court Medical Centre,WP,Wilayah Persekutuan,Elite Membership,Private Hospital (Tertiary),MSQH Accredited,English; Mandarin; Malay,International patient services; Multilingual support,https://princecourt.com/,Bones and Joints (Orthopaedics),3.1489704,101.7217335
66,Prince Court Medical Centre,WP,Wilayah Persekutuan,Elite Membership,Private Hospital (Tertiary),MSQH Accredited,English; Mandarin; Malay,International patient services; Multilingual support,https://princecourt.com/,Breast and Endocrine Surgery,3.1489704,101.7217335
67,Pristine Dental Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.pristinedental.com.my,,3.1163461,101.676445
68,Puteri Specialist Hospital,JH,Johor,Ordinary Member,,,,,https://kpjhealth.com.my/puteri,,1.4906273,103.7420823
