osm_id,attraction_name,category,raw_osm_tag,lat,lon,distance_km,query_type,reference_point,reference_state
node/6252877286,Traditional Boat Building,General Attraction,tourism=attraction,5.3331413,103.1270749,28.18,rural_region,Terengganu,Terengganu
node/6330125195,"Lubuk Mandi , Marang",General Attraction,tourism=attraction,5.2299793,103.1718312,23.01,rural_region,Terengganu,Terengganu
node/6330125198,Ship maker,General Attraction,tourism=attraction,5.3299669,103.1263312,27.83,rural_region,Terengganu,Terengganu
node/6418053485,Uptown Container,General Attraction,tourism=attraction,5.3986951,103.1034493,33.71,rural_region,Terengganu,Terengganu
node/6604351487,Street Art,Public Art,tourism=artwork,5.3348407,103.1347365,28.77,rural_region,Terengganu,Terengganu
node/6605271185,Street Art,Public Art,tourism=artwork,5.3313402,103.1321533,28.29,rural_region,Terengganu,Terengganu
node/6605271186,Street Art,Public Art,tourism=artwork,5.3307115,103.1332334,28.29,rural_region,Terengganu,Terengganu
node/6727595026,Gunung Gajah Trom,Mountain / Peak,natural=peak,4.9463973,102.8933753,22.03,rural_region,Terengganu,Terengganu
node/6727595027,Gunung Tembat,Mountain / Peak,natural=peak,5.2132463,102.6161,43.93,rural_region,Terengganu,Terengganu
node/6727679519,Gunung Bongsu,Mountain / Peak,natural=peak,5.2206224,102.6833816,37.03,rural_region,Terengganu,Terengganu
node/6727679521,Bukit Raung,Mountain / Peak,natural=peak,5.0156516,102.592789,46.4,rural_region,Terengganu,Terengganu
node/6733183060,Gunung Kapal,Mountain / Peak,natural=peak,5.2225156,102.8005122,25.19,rural_region,Terengganu,Terengganu
node/6733339788,Bukit Cergau,Mountain / Peak,natural=peak,5.0719615,102.7122472,32.2,rural_region,Terengganu,Terengganu
node/8752212417,Pantai Derdap,General Attraction,tourism=attraction,5.2271649,103.2650072,31.95,rural_region,Terengganu,Terengganu
node/8752214917,Pantai Batu Payung,General Attraction,tourism=attraction,5.2234545,103.2620474,31.49,rural_region,Terengganu,Terengganu
node/8752215119,Bat Cave - Gua Kelawar,Cave,natural=cave_entrance,5.2259902,103.2684461,32.25,rural_region,Terengganu,Terengganu
node/8889858572,Bukit Permaisuri,Mountain / Peak,natural=peak,5.0448837,102.6000845,44.95,rural_region,Terengganu,Terengganu
node/8890609571,Bukit Gua,Mountain / Peak,natural=peak,5.0774898,102.6131791,43.03,rural_region,Terengganu,Terengganu
node/8890687522,Bukit Lema,Mountain / Peak,natural=peak,5.0676739,102.6145953,42.99,rural_region,Terengganu,Terengganu
node/8897940941,Bukit Rek,Mountain / Peak,natural=peak,5.0423508,102.638365,40.83,rural_region,Terengganu,Terengganu
node/8904850899,Bukit Arung,Mountain / Peak,natural=peak,4.9327432,102.673856,41.35,rural_region,Terengganu,Terengganu
node/8914758531,Bukit Taat,Mountain / Peak,natural=peak,4.8371117,102.7182949,43.81,rural_region,Terengganu,Terengganu
node/8914790429,Batu Biwa,Mountain / Peak,natural=peak,4.8548365,102.7198613,42.32,rural_region,Terengganu,Terengganu
node/8922218890,Gunung Sarut,Mountain / Peak,natural=peak,5.3327872,102.7227795,39.2,rural_region,Terengganu,Terengganu
node/8927381418,Bukit Batu Kelikir,Mountain / Peak,natural=peak,5.2482729,102.749033,31.57,rural_region,Terengganu,Terengganu
node/8928506612,Bukit Pahlawan,Mountain / Peak,natural=peak,5.3346726,102.7677172,35.58,rural_region,Terengganu,Terengganu
node/8928529376,Bukit Lawit,Mountain / Peak,natural=peak,5.1631382,102.7727115,25.77,rural_region,Terengganu,Terengganu
node/8930193395,Bukit Teras,Mountain / Peak,natural=peak,5.3040324,102.7877483,31.64,rural_region,Terengganu,Terengganu
node/8930449028,Bukit Gendang Kera,Mountain / Peak,natural=peak,5.3745833,102.7972218,36.69,rural_region,Terengganu,Terengganu
node/8930522507,Bukit Kijal,Mountain / Peak,natural=peak,5.3646292,102.8020544,35.49,rural_region,Terengganu,Terengganu
node/8933165646,Bukit Aguh,Mountain / Peak,natural=peak,5.1731102,102.8087845,22.19,rural_region,Terengganu,Terengganu
node/8933323848,Bukit Kabung,Mountain / Peak,natural=peak,5.1946484,102.809549,22.94,rural_region,Terengganu,Terengganu
node/8933384257,Bukit Raung,Mountain / Peak,natural=peak,5.2442238,102.8114855,25.43,rural_region,Terengganu,Terengganu
node/8933604824,Bukit Tinggi,Mountain / Peak,natural=peak,5.3161705,102.8116196,30.7,rural_region,Terengganu,Terengganu
node/8935173671,Bukit Permatang Salak,Mountain / Peak,natural=peak,5.2126413,102.8242421,22.36,rural_region,Terengganu,Terengganu
node/8935651966,Bukit Kerung,Mountain / Peak,natural=peak,5.2957284,102.8383522,27.03,rural_region,Terengganu,Terengganu
node/8935658453,Bukit Batu Kutir,Mountain / Peak,natural=peak,5.1665272,102.8399195,18.68,rural_region,Terengganu,Terengganu
node/8935750363,Bukit Besar,Mountain / Peak,natural=peak,5.1088889,102.8480039,16.84,rural_region,Terengganu,Terengganu
node/8935795543,Bukit Kandang Gua,Mountain / Peak,natural=peak,5.1691631,102.8608166,16.61,rural_region,Terengganu,Terengganu
node/8935802762,Bukit Mual,Mountain / Peak,natural=peak,5.3557939,102.8595224,31.1,rural_region,Terengganu,Terengganu
node/8935824374,Bukit Jain,Mountain / Peak,natural=peak,5.1497914,102.867128,15.26,rural_region,Terengganu,Terengganu
node/8936099396,Bukit Capur,Mountain / Peak,natural=peak,5.1656996,102.8716263,15.35,rural_region,Terengganu,Terengganu
node/8936102921,Bukit Bawa,Mountain / Peak,natural=peak,5.2160647,102.8649258,18.8,rural_region,Terengganu,Terengganu
node/8941797507,Bukit Buluh Akar,Mountain / Peak,natural=peak,5.1725652,102.8846401,14.36,rural_region,Terengganu,Terengganu
node/8971720309,Bukit Keladi,Mountain / Peak,natural=peak,5.1200589,102.8964257,11.49,rural_region,Terengganu,Terengganu
node/8971736573,Bukit Panjang,Mountain / Peak,natural=peak,5.0982469,102.9006178,11.14,rural_region,Terengganu,Terengganu
node/8971891925,Bukit Tawang,Mountain / Peak,natural=peak,5.0696697,102.9018733,11.92,rural_region,Terengganu,Terengganu
node/8975053305,Bukit Cahat,Mountain / Peak,natural=peak,5.2157611,102.9056203,15.44,rural_region,Terengganu,Terengganu
node/8975149036,Bukit Keling Baik,Mountain / Peak,natural=peak,4.9442339,102.9133987,21.13,rural_region,Terengganu,Terengganu
node/8975157347,Bukit Jeneris,Mountain / Peak,natural=peak,5.151021,102.912873,10.51,rural_region,Terengganu,Terengganu
node/8976340343,Bukit Tangga Dua Belas,Mountain / Peak,natural=peak,5.2298056,102.9161453,15.91,rural_region,Terengganu,Terengganu
node/8976390858,Bukit Hulu Sat,Mountain / Peak,natural=peak,5.2005356,102.9165101,13.38,rural_region,Terengganu,Terengganu
node/8977292406,Bukit Tengek,Mountain / Peak,natural=peak,5.3628948,102.9206622,29.08,rural_region,Terengganu,Terengganu
node/8977355000,Bukit Tua,Mountain / Peak,natural=peak,5.1528268,102.9178834,10.09,rural_region,Terengganu,Terengganu
node/8977357769,Bukit Kedak,Mountain / Peak,natural=peak,5.1052426,102.9246962,8.39,rural_region,Terengganu,Terengganu
node/8977571550,Bukit Tanah Panjang,Mountain / Peak,natural=peak,5.1432312,102.9306883,8.35,rural_region,Terengganu,Terengganu
node/8977619125,Bukit Piatu,Mountain / Peak,natural=peak,5.1859188,102.930479,11.13,rural_region,Terengganu,Terengganu
node/8977708034,Bukit Sentul,Mountain / Peak,natural=peak,5.1736363,102.9369307,9.66,rural_region,Terengganu,Terengganu
node/8977714758,Bukit Belawan,Mountain / Peak,natural=peak,4.9691684,102.9356482,17.57,rural_region,Terengganu,Terengganu
node/8979315786,Bukit Beruk,Mountain / Peak,natural=peak,5.2051567,102.944684,11.88,rural_region,Terengganu,Terengganu
node/8979332464,Bukit Kepah,Mountain / Peak,natural=peak,5.1337369,102.9459822,6.39,rural_region,Terengganu,Terengganu
node/8979360348,Bukit Merang,Mountain / Peak,natural=peak,5.5353397,102.9470041,47.26,rural_region,Terengganu,Terengganu
node/8979404111,Bukit Jela,Mountain / Peak,natural=peak,5.174972,102.9487878,8.87,rural_region,Terengganu,Terengganu
node/8979461225,Bukit Anyit,Mountain / Peak,natural=peak,4.9999849,102.9477847,13.89,rural_region,Terengganu,Terengganu
node/8979617291,Bukit Bidung Darat,Mountain / Peak,natural=peak,5.4970442,102.9522318,42.96,rural_region,Terengganu,Terengganu
node/8979761811,Bukit Kolam,Mountain / Peak,natural=peak,5.2328987,102.9576874,14.07,rural_region,Terengganu,Terengganu
node/8979790810,Bukit Sang Rimau,Mountain / Peak,natural=peak,4.9822319,102.9563999,15.39,rural_region,Terengganu,Terengganu
node/8980033304,Bukit Kelayar,Mountain / Peak,natural=peak,4.9574132,102.9587415,17.96,rural_region,Terengganu,Terengganu
node/8980038272,Bukit Macang Gerehem,Mountain / Peak,natural=peak,5.1804001,102.9603535,8.63,rural_region,Terengganu,Terengganu
node/8980088067,Bukit Aceh,Mountain / Peak,natural=peak,5.1231044,102.9634649,4.18,rural_region,Terengganu,Terengganu
node/8980103352,Bukit Jari Meraga,Mountain / Peak,natural=peak,5.4319865,102.9651385,35.61,rural_region,Terengganu,Terengganu
node/8982520139,Bukit Nenas,Mountain / Peak,natural=peak,5.3767009,102.9743332,29.39,rural_region,Terengganu,Terengganu
node/8982522961,Bukit Kubang Gajah,Mountain / Peak,natural=peak,5.3266661,102.9754329,23.85,rural_region,Terengganu,Terengganu
node/8982550112,Bukit Tuman,Mountain / Peak,natural=peak,5.106378,102.9781902,2.55,rural_region,Terengganu,Terengganu
node/8982874906,Bukit Cengal,Mountain / Peak,natural=peak,5.1800314,102.9813606,7.67,rural_region,Terengganu,Terengganu
node/8982897336,Bukit Capang,Mountain / Peak,natural=peak,4.9822372,102.9806364,14.76,rural_region,Terengganu,Terengganu
node/8983024788,Bukit Pak Renek,Mountain / Peak,natural=peak,5.3338234,102.9817039,24.57,rural_region,Terengganu,Terengganu
node/8983209248,Bukit Sungai Seluang,Mountain / Peak,natural=peak,5.3151717,102.9831576,22.49,rural_region,Terengganu,Terengganu
node/8985197613,Bukit Kudung,Mountain / Peak,natural=peak,5.2091581,102.9877737,10.71,rural_region,Terengganu,Terengganu
node/8985283647,Bukit Batang Palas,Mountain / Peak,natural=peak,4.8749233,102.9882431,26.57,rural_region,Terengganu,Terengganu
node/8985635665,Bukit Pak Alang,Mountain / Peak,natural=peak,5.3541728,102.9899904,26.77,rural_region,Terengganu,Terengganu
node/8985639361,Bukit Gelugur,Mountain / Peak,natural=peak,5.2755098,102.9921005,18.02,rural_region,Terengganu,Terengganu
node/8985662510,Bukit Perah,Mountain / Peak,natural=peak,5.2791825,102.9908309,18.44,rural_region,Terengganu,Terengganu
node/8985914959,Bukit Kemuning,Mountain / Peak,natural=peak,5.0485478,102.9922216,7.28,rural_region,Terengganu,Terengganu
node/8985933989,Bukit Batu Hitam,Mountain / Peak,natural=peak,5.3519454,102.9968043,26.51,rural_region,Terengganu,Terengganu
node/8985971163,Bukit Medang,Mountain / Peak,natural=peak,5.4107267,102.9955346,33.04,rural_region,Terengganu,Terengganu
node/8986000970,Bukit Berapit,Mountain / Peak,natural=peak,5.2018256,102.9981879,9.81,rural_region,Terengganu,Terengganu
node/8986421546,Bukit Batu Dinding,Mountain / Peak,natural=peak,5.172235,102.9999601,6.52,rural_region,Terengganu,Terengganu
node/8986433496,Bukit Bayas,Mountain / Peak,natural=peak,5.2565087,103.000438,15.89,rural_region,Terengganu,Terengganu
node/8986456556,Bukit Tok Teluk,Mountain / Peak,natural=peak,5.0368705,103.0060536,8.56,rural_region,Terengganu,Terengganu
node/8986504609,Bukit Batu Setongkol,Mountain / Peak,natural=peak,5.3864758,103.0061514,30.35,rural_region,Terengganu,Terengganu
node/8987579520,Bukit Tok Uban,Mountain / Peak,natural=peak,5.4111589,103.006753,33.1,rural_region,Terengganu,Terengganu
node/8987585315,Bukit Ning,Mountain / Peak,natural=peak,5.1949296,103.0072606,9.08,rural_region,Terengganu,Terengganu
node/8987593639,Bukit Putat,Mountain / Peak,natural=peak,5.2717203,103.0079965,17.6,rural_region,Terengganu,Terengganu
node/8987648632,Bukit Alur Lesung,Mountain / Peak,natural=peak,5.0332451,103.0122103,9.04,rural_region,Terengganu,Terengganu
node/8989436126,Bukit Mohamad Diah,Mountain / Peak,natural=peak,5.4501798,103.0197759,37.49,rural_region,Terengganu,Terengganu
node/8989794816,Bukit Seraya,Mountain / Peak,natural=peak,5.331231,103.0256913,24.37,rural_region,Terengganu,Terengganu
node/8990294446,Bukit Kapur,Mountain / Peak,natural=peak,4.930018,103.028467,20.66,rural_region,Terengganu,Terengganu
node/8990333300,Bukit Balik Hidung,Mountain / Peak,natural=peak,5.0578076,103.0299754,7.04,rural_region,Terengganu,Terengganu
node/8990334396,Bukit Balak,Mountain / Peak,natural=peak,4.8994067,103.0326841,24.09,rural_region,Terengganu,Terengganu
node/8990340580,Bukit Jalin Kecil,Mountain / Peak,natural=peak,5.0383803,103.0312587,9.05,rural_region,Terengganu,Terengganu
node/8990364226,Bukit Jalin Besar,Mountain / Peak,natural=peak,5.0506223,103.0268695,7.61,rural_region,Terengganu,Terengganu
node/8990420757,Bukit Keratan,Mountain / Peak,natural=peak,5.0939413,103.0385675,4.8,rural_region,Terengganu,Terengganu
node/8992740835,Bukit Besar,Mountain / Peak,natural=peak,5.055448,103.0442637,8.11,rural_region,Terengganu,Terengganu
node/8992758684,Bukit Tanah Merah,Mountain / Peak,natural=peak,5.0623896,103.0599481,8.75,rural_region,Terengganu,Terengganu
node/8992804225,Bukit Kenanga,Mountain / Peak,natural=peak,5.1450259,103.0561213,7.13,rural_region,Terengganu,Terengganu
node/8992830842,Bukit Berangan,Mountain / Peak,natural=peak,5.3655505,103.0593949,28.78,rural_region,Terengganu,Terengganu
node/8992857198,Bukit Bayas,Mountain / Peak,natural=peak,5.3982201,103.0601819,32.34,rural_region,Terengganu,Terengganu
node/8995773558,Bukit Reming,Mountain / Peak,natural=peak,5.0446512,103.0670035,10.67,rural_region,Terengganu,Terengganu
node/8996158402,Bukit Buluh Nipis,Mountain / Peak,natural=peak,4.8160348,103.0698359,33.98,rural_region,Terengganu,Terengganu
node/8996204753,Bukit Bakung,Mountain / Peak,natural=peak,4.9763265,103.0704018,17.14,rural_region,Terengganu,Terengganu
node/8996353957,Bukit Laka,Mountain / Peak,natural=peak,4.985946,103.0737573,16.38,rural_region,Terengganu,Terengganu
node/8998007800,Bukit Ading,Mountain / Peak,natural=peak,4.9268642,103.0785048,22.51,rural_region,Terengganu,Terengganu
node/8998188791,Bukit Panglima Jawa,Mountain / Peak,natural=peak,5.0245455,103.0789715,13.21,rural_region,Terengganu,Terengganu
node/8998283574,Bukit Macang,Mountain / Peak,natural=peak,5.0143868,103.0801463,14.16,rural_region,Terengganu,Terengganu
node/8998441528,Bukit Ubi,Mountain / Peak,natural=peak,5.0371621,103.0922109,13.29,rural_region,Terengganu,Terengganu
node/8998449463,Bukit Talung,Mountain / Peak,natural=peak,4.7849287,103.0907464,37.9,rural_region,Terengganu,Terengganu
node/8998508985,Bukit Ringgu,Mountain / Peak,natural=peak,4.7216057,103.1014296,45.01,rural_region,Terengganu,Terengganu
node/8998531540,Bukit Datuk,Mountain / Peak,natural=peak,4.7522308,103.0993643,41.66,rural_region,Terengganu,Terengganu
node/9000664161,Bukit Kayu Kapur,Mountain / Peak,natural=peak,4.955035,103.1031919,21.01,rural_region,Terengganu,Terengganu
node/9000683377,Bukit Apit,Mountain / Peak,natural=peak,5.0883046,103.105005,11.97,rural_region,Terengganu,Terengganu
node/9000690743,Bukit Datu,Mountain / Peak,natural=peak,5.3320634,103.1035432,26.86,rural_region,Terengganu,Terengganu
node/9000885098,Bukit Hulu Padi,Mountain / Peak,natural=peak,4.9777186,103.1064244,19.16,rural_region,Terengganu,Terengganu
node/9000897404,Bukit Durian Tarus,Mountain / Peak,natural=peak,4.9973009,103.1061282,17.48,rural_region,Terengganu,Terengganu
node/9001309130,Bukit Melung,Mountain / Peak,natural=peak,4.796378,103.1082933,37.26,rural_region,Terengganu,Terengganu
node/9001376054,Bukit Jung,Mountain / Peak,natural=peak,4.988643,103.1088618,18.4,rural_region,Terengganu,Terengganu
node/9001643897,Bukit Megat Sulaiman,Mountain / Peak,natural=peak,5.1767929,103.1098237,14.05,rural_region,Terengganu,Terengganu
node/9001679894,Bukit Betung,Mountain / Peak,natural=peak,4.8328099,103.1109928,33.56,rural_region,Terengganu,Terengganu
node/9001701383,Bukit Tasik,Mountain / Peak,natural=peak,5.0693217,103.1168346,13.85,rural_region,Terengganu,Terengganu
node/9001701426,Bukit Jemeluk,Mountain / Peak,natural=peak,4.9156097,103.1111339,25.22,rural_region,Terengganu,Terengganu
node/9001715656,Bukit Gua Harimau,Mountain / Peak,natural=peak,4.6920352,103.1155015,48.59,rural_region,Terengganu,Terengganu
node/9004502761,Bukit Nangur,Mountain / Peak,natural=peak,5.022161,103.1207043,16.8,rural_region,Terengganu,Terengganu
node/9004547655,Bukit Wakaf,Mountain / Peak,natural=peak,5.1480214,103.1202864,13.86,rural_region,Terengganu,Terengganu
node/9004675918,Bukit Seraya,Mountain / Peak,natural=peak,5.1639819,103.1262482,15.06,rural_region,Terengganu,Terengganu
node/9006398357,Bukit Che Long,Mountain / Peak,natural=peak,5.320951,103.1372666,27.62,rural_region,Terengganu,Terengganu
node/9006458182,Bukit Temiang,Mountain / Peak,natural=peak,5.130598,103.1418827,15.83,rural_region,Terengganu,Terengganu
node/9006652588,Bukit Buluh,Mountain / Peak,natural=peak,5.2117838,103.1457183,19.48,rural_region,Terengganu,Terengganu
